ref	longdesc	label	shortname	shortdesc	neurolex	latLng	circuit
15	The claustrum receives projections from virtually the entire cortex in a topographic, but largely overlapped fashion(Pearson et al., 1982). The projections from cortex originate from C6m neurons, which are distinct from C6t neurons in the cat(Katz, 1987). Apical dendrites of these neurons typically arborize directly below layer 4 in the upper part of layer 5(Soloway et al., 2002; No, 1943). Occasionally collaterals of C5s neurons are found in the claustrum(M. Parent & Parent, 2006).	Ref-unknown-L3_68_	C6m Pyramidal Neuron	Neuroanatomically, C6m appears to function in coordination with C5s neurons to integrate action suggestions for transmission to the claustrum.	http://neurolex.org/wiki/Category:Neocortex_pyramidal_cell_layer_5-6	81.036566, -101.657382	All	
14	Lower layer 3b in the isocortex is centrally located to be the hub of perceptual information processing in the cerebral cortex. The large pyramidal neurons located in the lower part of layer 3, just above the granular layer 4 could be included in multiple circuits including long- term memory, working memory/information processing, and behavior output. The C3b cells have the classic pyramidal neuron shape and are usually the second largest pyramidal neuron group next to C5b(Jones & Wise, 1977; Barbas, Hilgetag, et al., 2005; Rempel-Clower & Barbas, 2000). The C3b intracortical projections involve some of the longest grey matter projections in the cerebral cortex(Kritzer & Goldman-Rakic, 1995; DeFelipe, 1997; Fujita & Fujita, 1996). The horizontal projections form stripe-like vertical patches and have all the same qualities described in the C3a group.<br>In the isocortex, different populations of pyramidal neurons tend to project contralaterally as opposed to ipsilaterally(Soloway et al., 2002). The contralateral projections arise from C3b cells and target the spatially analogous region of cortex on the other side of the brain, while ipsilateral projections mainly arise from C3a and C56. The same C3b cells appear to be the dominant source of isocortex → periallocortex projections(Burwell, 2000; Witter et al., 1989), responsible for communicating representations in the isocortex to the hippocampus for association.<br>The C3b cells appear to preferentially stain for acetylcholine with C5b cells(Hackett et al., 2001; Voytko et al., 1992), and have been shown to have preferential connections with C5b cells(Briggs & Callaway, 2005; Thomson & Bannister, 1998). In the agranular primary motor cortex, all layers visually look like a combination of C3b and C5b cells of various sizes.	Ref-unknown-L3_67_	C3b Pyramidal Neuron	Neuroanatomically, C3b appears to function as stable invariant perceptual representations in the cerebral cortex that are associated in short-term memory.	http://neurolex.org/wiki/Category:Layer_3_Pyramidal_Neuron	83.272099, -104.963049	All	
17	Neurons in the lower layers of the cerebral cortex are the most diverse, but are differentiable based on the targets of their projections. We use the term C56 to group the cortical neurons in the infragranular layers of the isocortex that dominantly project corticocortically(Soloway et al., 2002; Lima et al., 1990; Tanigawa et al., 1998). The C56 neurons often have a spindle shape and appear to lack major dendritic tufts above layer 5a(Lima et al., 1990). The intracortical supragranular projections appear more extensive in layers 2 and 3a(Levitt et al., 1993), with distant horizontal projections in layers 5/6(Tardif et al., 2007). The C56 group are the dominant source of intercortical projections to layer 1 and 2 of ipsilateral cortices(Figure 3)(Rockland & Drash, 1996; Barbas, Hilgetag, et al., 2005; Medalla & Barbas, 2006).	Ref-unknown-L3_12_	C56 Pyramidal Neuron	Neuroanatomically, C56 appears to function as corticocortical feedback output system.	http://neurolex.org/wiki/Category:Neocortex_pyramidal_cell_layer_5-6	81.569319, -154.514987	All	
16	Layer 4 is referred to as the inner granular layer, not for any particular cell type, but due to the visual appearance of small neurons stained in Nissl preparations. Layer 4, of all cortices, appears to be an input for feedforward type projections. In isocortex, layer 4 is the primary target of ipsilateral corticocortical feedforward type cortical projections(Figure 3)(Barbas, Hilgetag, et al., 2005; DeFelipe et al., 1986; Medalla & Barbas, 2006; Rockland, 1992; Felleman & Van Essen, 1991). Since primary sensory koniocortex is the anatomically closest cortex to raw sensory input, other cortical areas can not provide feedforward input. Instead, in koniocortices, the specific thalamus provides the feedforward projection into layer 4. In primary motor cortex layer 4 is essentially non-existent, highlighting the diminished need for feedforward input to cortical areas involved in output behavior. The cortical pyramidal neurons in layer 4(C4) typically have a descending and an ascending axon that arborize locally (<1mm)(Kritzer & Goldman-Rakic, 1995). The ascending axon reaches all supragranular layers upwards of layer 2. Descending axons do not prominently exit the cortex as with most other pyramidal cells.<br>Only in primary sensory areas, and especially in primary visual cortex, does layer 4 contain spiny stellate cells(Meyer et al., 1989). In all other parts of cortex, spiny stellate cells are non- existent or very rare, and instead small pyramidal cells along with interneurons compose the majority of cells in L4.	Ref-unknown-L3_9_	C4 Pyramidal Neuron	Neuroanatomically, C4 appears to function as a corticocortical feedforward input system.	http://neurolex.org/wiki/Category:Neocortex_layer_4	82.885829, -159.989515	All	
19	The parahippocampal gyrus, also called periallocortex because of its transitional lamination structure in between isocortex and allocortex, consists of the entorhinal and perirhinal cortices. The general topographic connections between association isocortices and periallocortices are well mapped, but the actual specificity of laminar projections between associative cortices and periallocortices remains vague at best(Burwell, 2000; Lavenex et al., 2002; Witter et al., 1989). The periallocortex contains intralayer connectivity similar to regular isocortex with less lami- nar differentiation. The periallocortex is the neuronal interface between the isocortex and the hippocampus, since the isocortex does not typically project directly to the hippocampus. The afferent input and efferent output of the periallocortex can grossly be split into upper(PH23) and lower(PH56) layers respectively based on its projections with the isocortex and allocortex. To a lesser degree, the periallocortex receives subcortical input from the amygdala, claustrum, basal forebrain, thalamus, hypothalamus, and brainstem(Insausti et al., 1987).	Ref-unknown-L3_14_	Parahippocampal gyrus(periallocortex): Entorhinal & Perirhinal cortices	Neuroanatomically, periallocortex appears to facilitate medium-term storage of associations, temporally acting between short-term and long-term memory, capable of mapping source C3b representations to target C3b representations in the isocortex.	http://neurolex.org/wiki/Category:Parahippocampal_gyrus	78.785268, -179.634223	All	
18		Ref-unknown-L3_13_	Corpus Callosum	Large bundle of white matter fibers connecting the two cerebral hemispheres	http://neurolex.org/wiki/Category:Corpus_callosum	80.207391, -171.809922	All	
30	The TRN is a thin shell of GABAergic neurons surrounding the entire thalamus(Scheibel & Scheibel, 1966). The TRN’s majority of afferent connections arise from ascending Ts and de- scending C6t projections(Jones, 1975). The TRN then projects directly onto the Ts in an in- hibitory manner(Velayos et al., 1989; Scheibel & Scheibel, 1966). The TRN receives cholinergic projection from the brainstem in the cat(Pare et al., 1988).	Ref-unknown-L3_26_	TRN - Thalamic Reticular Nucleus	Neuroanatomically, the TRN appears to function in gating thalmocortical information to regulate cognitive states.		78.747576, -160.750519	All	
37	The intralaminar thalamus is composed of the centre median(CM), parafasicular(PF), and mid- line nuclei(Jones, 2007). The midline nuclei are usually further subdivided into the central medial, paracentral, central lateral, and rhomboid nuclei. The intralaminar nuclei output topo- graphic projections to both the striatum and to the lower layers of the isocortex(I. Brysch et al., 1984; Tande et al., 2006; Sadikot, Parent, & Francois, 1992; Sadikot, Parent, Smith, & Bolam, 1992). In a gross topographic organization, PF is associated with frontal cortex and the caudate, CM with motor cortex and the putamen, and midline with cingular cortex and the nucleus ac- cumbens. Ti projects dominantly to lower layers 5/6 in the cerebral cortex(Herkenham, 1980). The most compelling evidence confirming this fact in primates comes from single-axon tracing studies in the monkey that undeniably demonstrate the majority of intralaminar (CM/PF) pro- jections do principally terminate in layers 5/6(M. Parent & Parent, 2005), with much smaller collateral projections to layer 1. The Ti nuclei projections are largely segregated into those that project exclusively to the cerebral cortex and those that project to the matrix portion of the striatum(M. Parent & Parent, 2005).	Ref-unknown-L3_30_	Ti - Intralaminar Thalamic Nuclei: CM, PF, Midline	Neuroanatomically, the intralaminar thalamus appears to excite the behavioral output of the lower layers of the cerebral cortex to accurately select C5p output and drive cortical behaviors.	http://neurolex.org/wiki/Category:Intralaminar_nuclear_group	77.435578, -139.818925	All	
36	Herkenham first described a localized region of the thalamus in the mouse, VM, that projected diffusely to nearly the entire cerebral cortex(Herkenham, 1980, 1979). The projection has a decreasing density gradient from frontal cortex(cognitive) to parietal cortex(sensory). A more recent study in the rat definitively confirms this VM projection(Mitchell & Cauller, 2001). These layer 1 projections, arising from local portions of the ventral thalamus, have been shown in multiple other non-primate studies(No, 1943; Arbuthnott et al., 1990). Although a localized L1 projection location has not been looked for in the monkey, the ventral thalamus in the monkey does has significant projections to layer 1(Nakano et al., 1992; McFarland & Haber, 2002). The VAmc/VM thalamus receives notable projections from the basal ganglia and the cerebellum, but the exact overlap in the TL1 region is unknown(Sidibe et al., 1997; Francois et al., 2002; M. Parent et al., 2001). We include in the TL1 definition the more sparsely distributed layer 1 projectingthalamic matrix described by Jones(Jones, 1998). We hypothesize all layer 1 projections have a similar functional role as the consolidated VAmc/VM global projections albeit in sensory cortex through local feedback control. We use the term VAmc/VM loosely to describe the hypothesized localized thalamic projection source occurring near the mammothalamic tract that presumably exists in the primate(human). A focused experiment to directly test for this projection in the primate would be fruitful for neuroscience. In addition to the intralaminar nuclei, TL1 and VAmc/VM send collaterals to the striatum, further confounding the similarity with the intralaminar projections(McFarland & Haber, 2001). As part of the reticular activating system the ventral (an other thalamic nuclei) receive afferent cholinergic projections from the brainstem(Steriade et al., 1988).	Ref-unknown-L3_29_	TL1 - Layer 1 Projecting Thalamic Nuclei: VAmc, VM, Matrix L1 Projections	Neuroanatomically, the layer 1 thalamic projection appears to provide short latency cortical stimulation across widespread areas with the potential to activate and control cortical information processing.	http://neurolex.org/wiki/Category:Magnocellular_part_of_ventral_anterior_nucleus	77.093763, -147.773884	All	
53	Sp neurons are GABAergic spiny projection neurons found in the patches of the striatum and project prominently to the Snc(Fujiyama et al., 2011; Haber et al., 1990). The Sp do send smaller number of axon collaterals into the Gpe and Gpi/Snr(M. Levesque & Parent, 2005). The patch compartments receive their input from C5p neurons in the isocortex(Gerfen, 1989, 1984).	Ref-unknown-L3_38_	Striatum Patch(striosomes)	Sp appears as a C5p cortically evoked dopamine based 'learning' signal via the Sp->Snc pathway in order to reinforce the two Sm pathways.	http://neurolex.org/wiki/Category:Striatum_patch_medium_spiny_cell	77.515601, -113.971412	All	
34	The ventral group is composed of the ventral anterior (VA) and ventral lateral (VL) nuclei. VA and VL (having subdivisions themselves(Macchi & Jones, 1997)) generally project to the behavioral parts of the brain related to thinking (frontal cortex) and movement (motor cortex) respectively. We separate the ventral group from other Ts nuclei because of the afferent projections from the basal ganglia(Sidibe et al., 1997; M. Parent & Parent, 2004) and cerebellum(Sakai et al., 1996; Hamani et al., 2006), both involved in controlling thinking and movement. 	Ref-unknown-L3_28_	Ventral Specific Thalamic Nuclei: VA, VL	Ventral Anterior(VA), Ventral Lateral(VL)	http://neurolex.org/wiki/Category:Ventral_anterior_nucleus	77.347310, -151.693157	All	
55	The basal ganglia is composed of multiple subnuclei. The historical naming of the basal ganglia does not make the homotypical groupings intuitive. The striatum, containing GABAergic projection neurons, is the dominant input structure and is comprised of the putamen, caudate, and nu- cleus accumbens also referred to as the ventral striatum. The globus pallidus external segment (Gpe), also referred to as the globus pallidus in the mouse, dominates the internal GABAergic structure in the basal ganglia. The globus pallidus internal segment (Gpi) and substantia nigra pars reticulata (Snr) form a disjoint but functionally singular GABAergic output structure of the basal ganglia(Gpi/Snr). The subthalamic nucleus (Stn) provides glutamatergic excitatory input to multiple elements in the basal ganglia. The substantia nigra pars compacta (Snc) provides dopaminergic input to the striatum, the damage of which is the source of Parkin- son disease. Huntington’s disease involves the degeneration of the striatum progressing from motor(putamen) to cognitive(caudate) deficits(degeneration)(Heindel et al., 1989). The same correlations between motor/cognitive deficits and putamen/caudate dysfunction is found in Parkinson’s(Lauterbach, 2005).<br>The projections through the basal ganglia are organized into parallel, yet overlapped path- ways from the entire isocortex(Smith et al., 2004, 1998) forming a homotypical architecture. Primary auditory and visual cortex do not project to the basal ganglia in the monkey(Borgmann & Jurgens, 1999). Most nuclei in the basal ganglia rely on GABA as a neurotransmitter forming a consistent disinhibitory functional pathway. The GABAergic neurons in the basal ganglia are inherently tonically active and do not require input to continually fire action potentials. Based on neuron number, a significant amount of neural convergence occurs from input to output through the basal ganglia. The human and rat striatum have about 70M and 2.8M neurons respectively(Kreczmanski et al., 2007; Oorschot, 1996). In both species the number of neurons decrease approximately 50 to 1 (striatum → Gpe) and 2 to 1 (Gpe → Gpi/Snr)(Oorschot, 1996; Hardman et al., 2002).	Ref-unknown-L3_40_	Basal Ganglia	The basal ganglia is a structure that is essential for learning and coordination in movement and cognition	http://neurolex.org/wiki/Category:Basal_ganglia	75.414798, -129.240795	All	
32	Specific thalamic neurons project to the mid layers in the cerebral cortex. Ts thalamocortical projections are to lower layer 3b in primate isocortex, often avoiding layer 4(Jones, 2007; Ro- manski et al., 1997; Jones & Burton, 1976; Trojanowski & Jacobson, 1976; Rockland et al., 1999; McFarland & Haber, 2002; Giguere & Goldman-Rakic, 1988), while koniocortical projections are to layer 4(Callaway, 1998). The Ts thalamocortical projection is localized (< a few mm2) and topologically organized in the cerebral cortex in accordance with the temporal development of projections(W. Brysch et al., 1990; Hohl-Abrahao & Creutzfeldt, 1991; Vogt et al., 1987; Goldman-Rakic & Porrino, 1985; Baleydier & Mauguiere, 1987; Kievit & Kuypers, 1977).<br>The Ts is composed of multiple histologically identifiable subnuclei that can be further subdivided based on afferent/efferent projections. We functionally separate the non-primary Ts into two main groups and adhere to Jones’ terminology(Jones, 2007). The ventral group is composed of the ventral anterior (VA) and ventral lateral (VL) nuclei. VA and VL (having subdivisions themselves(Macchi & Jones, 1997)) generally project to the behavioral parts of the brain related to thinking (frontal cortex) and movement (motor cortex) respectively. We separate the ventral group from other Ts nuclei because of the afferent projections from the basal ganglia(Sidibe et al., 1997; M. Parent & Parent, 2004) and cerebellum(Sakai et al., 1996; Hamani et al., 2006), both involved in controlling thinking and movement. The second non- primary Ts group of nuclei are composed of anatomically related subnuclei. The pulvinar(P) and lateral posterior (LP) nuclei are similar anatomically and generally project to temporal and parietal isocortex often involved in vision. The anterior(A) and the lateral dorsal(LD) complex are grouped because of their anatomical similarities. A and LD are generally related to the limbic cortex, such as cingular and retrosplenial cortex, and contain projections from the hippocampus and amygdala. Note the complications in functional vs location based naming conventions, lateral nuclei not being grouped together.	Ref-unknown-L3_27_	Ts - Specific Thalamus	Neuroanatomically, the specific thalamus appears to drive the convergent selection of C3b and C6t perceptual representations for cortico-thalamocortical oscillations.	http://neurolex.org/wiki/Category:Thalamic_reticular_nucleus	77.324923, -154.669440	All	
65	Acetylcholine is found in primarily three populations of neurons in the brain: motor neurons, interneurons in the striatum, and the basal forebrain including the nucleus of Meynert(Satoh & Fibiger, 1985). Basal forebrain lesions ’abolish cortical plasticity associated with motor skill learning’(Conner et al., 2003). Large lesions of the basal forebrain in the rat have resulted in deep coma consistent with the disruption of behavioral output(Fuller et al., 2011). Acetyl- cholinesterase staining typically stains layer 1 of most cortices, therefore the BF projection appears to primarily target layer 1 of most of the cortex(Bigl et al., 1982). Pieces of indirect evidence suggest that the basal forebrain acetylcholine projection may form a special type of learning signal that reinforces the mapping between C3b and C5p neurons. When staining in monkey and human cortex for acetylcholinesterase, it appears that C3b and C5p neurons are preferentially stained, suggesting their prominent utilization of acetylcholine(Hackett et al., 2001; Bravo & Karten, 1992; Voytko et al., 1992). As discussed earlier C3b and C5p have preferential connections.	Ref-unknown-L3_47_	BF - Basal Forebrain Nucleus of Meynert	Neuroanatomically, the basal forebrain appears to provide cholinergic input to the cerebral cortex to activate and learn triggered output behaviors.	http://neurolex.org/wiki/Category:Basal_forebrain	78.807334, -97.623639	All	
